"language_code","language_name","language_synonym","thesaurus_heading_language","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","uri"
"A75","Bundjuwanga","","","-21.087596240294","119.397199134860","https://collection.aiatsis.gov.au/austlang/language/a75"
"A76","Pantikura","","","-22.557802405153","118.504253782610","https://collection.aiatsis.gov.au/austlang/language/a76"
"A77","Mijaranypa","Mitjaranjpa","","-22.999689368036","118.145275223020","https://collection.aiatsis.gov.au/austlang/language/a77"
"A79","Yinhawangka / Innawonga","Ngarluwangka|Panytyima|Ngalawonga","","-24.455778426304","119.078264085240","https://collection.aiatsis.gov.au/austlang/language/a79"
"A8","Murunitja","Nyanganyatjara|Nangatadjara|Pindini|Tjeraridjal|Wanggatha|Kogara Mara|Mooroon|Murnidja|Murunidja|Moorooon|Mara|Kogara","Murunitja language A8","-30.302385789976","126.030717478220","https://collection.aiatsis.gov.au/austlang/language/a8"
"A80","Western Desert language","The Western Desert language","","-26.337337816815","127.108107140620","https://collection.aiatsis.gov.au/austlang/language/a80"
"A81","Mount Margaret","Mount Margaret Dialect","","","","https://collection.aiatsis.gov.au/austlang/language/a81"
"A82","Wirdjaragandja","Wirdjabaganja|Wi:rtjapakandja","","-26.304879382631","131.911076074030","https://collection.aiatsis.gov.au/austlang/language/a82"
"A83","Njangadjadjara","","","-30.682160310788","131.492116057350","https://collection.aiatsis.gov.au/austlang/language/a83"
"A84","Tarpuntjari","","","","","https://collection.aiatsis.gov.au/austlang/language/a84"
"A85","Kurajarra","Gurajarra","","-22.909591398018","122.362916710400","https://collection.aiatsis.gov.au/austlang/language/a85"
"A86","Martu Wangka","","","","","https://collection.aiatsis.gov.au/austlang/language/a86"
"A87","Wangkajunga","Martu Wangka|Wanggadjunga","","-20.576465858871","126.503233596330","https://collection.aiatsis.gov.au/austlang/language/a87"
"A88","Juwaliny","Tjuwalinj|Walmajarri|Tjiwaliny","","-20.643729665896","124.698797167830","https://collection.aiatsis.gov.au/austlang/language/a88"
